Gal,System,Pos,Planeta / Nazwa (Aktywność),Księżyc,PZ,Status,Gracz,Sojusz,Akcja,Pozycja,PlayerId,PlanetId,Komentarz covidu,,
,,,5739 planet / 9 opuszczonych,230 moonów,,,zielony = idler,1813 idlerów,,,,, by matej & polkin3run & rabus,,
,,,,,,,,,,,,,,,
1,1,1,,,,,,,,0,0,0,,1,100101
1,1,10,Planeta dzieciarzyst,,,i,ciaputek,-,Szpieguj,908,1008,4372,,10,100110
1,1,11,Dainen Planet (51 min),,,,axis21,-,Szpieguj,207,1907,4607,,11,100111
1,1,12,,,,,,,,0,0,0,,12,100112
1,1,13,,,,,,,,0,0,0,,13,100113
1,1,14,,,,,,,,0,0,0,,14,100114
1,1,15,,,,,,,,0,0,0,,15,100115
1,1,2,,,,,,,,0,0,0,,2,100102
1,1,3,Planeta macierzysta,,,i,mentorsky,-,Szpieguj,2499,2699,5308,,3,100103
1,1,4,,,,,,,,0,0,0,,4,100104
1,1,5,Main Planet (51 min),,,,axis21,-,Szpieguj,207,1907,1906,,5,100105
1,1,6,Planeta macierzysta,,,i,ciaputek,-,Szpieguj,908,1008,1007,,6,100106
1,1,7,Planeta tacierzysta,,,i,ciaputek,-,Szpieguj,908,1008,3003,,7,100107
1,1,8,Dain Planet (51 min),,,,axis21,-,Szpieguj,207,1907,3317,,8,100108
1,1,9,Daine Planet (50 min),,,,axis21,-,Szpieguj,207,1907,4183,,9,100109
1,2,1,,,,,,,,0,0,0,,16,100201
1,2,10,Planeta macierzysta,,,i,gitsu,-,Szpieguj,1416,2700,5330,,25,100210
1,2,11,,,,,,,,0,0,0,,26,100211
1,2,12,,,,,,,,0,0,0,,27,100212
1,2,13,,,,,,,,0,0,0,,28,100213
1,2,14,,,,,,,,0,0,0,,29,100214
1,2,15,,,,,,,,0,0,0,,30,100215
1,2,2,,,,,,,,0,0,0,,17,100202
1,2,3,,,,,,,,0,0,0,,18,100203
1,2,4,Planeta macierzysta,,,i,dmde,-,Szpieguj,1983,1009,1008,,19,100204
1,2,5,,,,,,,,0,0,0,,20,100205
1,2,6,Dziub Dziub 3 (16 min),,,,Warsdmanpl,MnS,Szpieguj,47,1010,6065,,21,100206
1,2,7,Planeta macierzysta1 (43 min),,,,sitos,-,Szpieguj,44,5,4,,22,100207
1,2,8,Planeta macierzysta2 (43 min),,,,sitos,-,Szpieguj,44,5,3029,,23,100208
1,2,9,Centrala (26 min),,,,sitos,-,Szpieguj,44,5,3714,,24,100209
1,3,1,,,,,,,,0,0,0,,31,100301
1,3,10,prosze farmic (31 min),,,,MG78,DWA,Szpieguj,580,6,5,,40,100310
1,3,11,Dziub Dziub 4 (16 min),,,,Warsdmanpl,MnS,Szpieguj,47,1010,5045,,41,100311
1,3,12,,,,,,,,0,0,0,,42,100312
1,3,13,,,,,,,,0,0,0,,43,100313
1,3,14,,,,,,,,0,0,0,,44,100314
1,3,15,,,,,,,,0,0,0,,45,100315
1,3,2,,,,,,,,0,0,0,,32,100302
1,3,3,,,,,,,,0,0,0,,33,100303
1,3,4,,,,,,,,0,0,0,,34,100304
1,3,5,Dziub Dziub 5 (16 min),,,,Warsdmanpl,MnS,Szpieguj,47,1010,4549,,35,100305
1,3,6,Planeta macierzysta,,,i,sudi242,-,Szpieguj,2359,1909,1908,,36,100306
1,3,7,Dziub Dziub 8 (16 min),,,,Warsdmanpl,MnS,Szpieguj,47,1010,2821,,37,100307
1,3,8,Dziub Dziub 9 (*),,,,Warsdmanpl,MnS,Szpieguj,47,1010,1009,,38,100308
1,3,9,Dziub Dziub 7 (16 min),,,,Warsdmanpl,MnS,Szpieguj,47,1010,3175,,39,100309
1,4,1,,,,,,,,0,0,0,,46,100401
1,4,10,Planeta macierzysta,,,i,musqu,-,Szpieguj,2360,1910,1909,,55,100410
1,4,11,,,,,,,,0,0,0,,56,100411
1,4,12,,,,,,,,0,0,0,,57,100412
1,4,13,,,,,,,,0,0,0,,58,100413
1,4,14,,,,,,,,0,0,0,,59,100414
1,4,15,,,,,,,,0,0,0,,60,100415
1,4,2,,,,,,,,0,0,0,,47,100402
1,4,3,,,,,,,,0,0,0,,48,100403
1,4,4,,,,,,,,0,0,0,,49,100404
1,4,5,Misia 1,,,,Kierczu,-,Szpieguj,370,1488,6143,,50,100405
1,4,6,Planeta macierzysta,,,u,Nieblokuj,-,Szpieguj,1116,1011,1010,,51,100406
1,4,7,prosze farmic (31 min),,,,MG78,DWA,Szpieguj,580,6,3880,,52,100407
1,4,8,prosze farmic (31 min),,,,MG78,DWA,Szpieguj,580,6,3373,,53,100408
1,4,9,Dziub Dziub 6 (16 min),,,,Warsdmanpl,MnS,Szpieguj,47,1010,3732,,54,100409
